epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1575,0.84035,2.5918,1.2283,0.98491,0.09339,0.64713,0.49001,0.74844,2.72171,1.23002,0.000410354,0.000410354,0.000410354
2,42.1022,0.94335,1.60189,1.25992,0.6031,0.60707,0.6258,0.3789,1.18632,2.12681,1.57221,0.000818833,0.000818833,0.000818833
3,50.9517,1.01203,1.47961,1.30155,0.59831,0.56685,0.61303,0.36386,1.30453,2.00926,1.72304,0.00121906,0.00121906,0.00121906
4,59.6407,0.9848,1.40198,1.28729,0.66792,0.63365,0.69842,0.4454,1.10722,1.88236,1.48825,0.00121287,0.00121287,0.00121287
5,68.3534,0.95069,1.28916,1.25946,0.79303,0.56903,0.68439,0.48368,1.04718,1.7604,1.52894,0.0012005,0.0012005,0.0012005
6,76.9385,0.94924,1.18645,1.26503,0.74937,0.72426,0.80399,0.56748,1.03597,1.56724,1.43284,0.00118812,0.00118812,0.00118812
7,86.8983,0.91215,1.126,1.2465,0.63216,0.55525,0.69252,0.50936,0.94756,1.52002,1.34473,0.00117575,0.00117575,0.00117575
8,95.5411,0.9458,1.10341,1.24448,0.75934,0.61664,0.68936,0.4891,1.08921,1.36623,1.63957,0.00116337,0.00116337,0.00116337
9,103.82,0.88644,1.04328,1.22387,0.83482,0.75001,0.83453,0.61478,1.01526,0.98088,1.37407,0.001151,0.001151,0.001151
10,112.101,0.89974,0.97155,1.23718,0.75236,0.76617,0.81113,0.57591,1.12401,1.07091,1.57481,0.00113863,0.00113863,0.00113863
11,120.451,0.87841,0.95631,1.22319,0.8229,0.68373,0.82166,0.58388,1.1524,1.2942,1.63642,0.00112625,0.00112625,0.00112625
12,128.737,0.85333,0.92934,1.20591,0.85476,0.79738,0.85619,0.66125,0.87927,1.17727,1.30561,0.00111388,0.00111388,0.00111388
13,137.262,0.83953,0.90049,1.1871,0.83283,0.76525,0.84423,0.62728,1.05467,1.07062,1.49041,0.0011015,0.0011015,0.0011015
14,145.733,0.83008,0.85038,1.18336,0.84215,0.76461,0.85033,0.64359,0.94293,1.15913,1.33566,0.00108913,0.00108913,0.00108913
15,154.128,0.79956,0.81965,1.16814,0.82071,0.70269,0.83647,0.60694,1.12659,1.31847,1.58316,0.00107675,0.00107675,0.00107675
16,162.451,0.82092,0.81375,1.16917,0.8797,0.81615,0.90687,0.68754,0.91132,0.79401,1.33217,0.00106437,0.00106437,0.00106437
17,170.909,0.83513,0.81188,1.17861,0.90119,0.81261,0.89601,0.68264,1.02072,0.74035,1.48027,0.001052,0.001052,0.001052
18,179.223,0.805,0.78812,1.16197,0.87175,0.82328,0.88794,0.67633,0.94582,0.73171,1.38471,0.00103962,0.00103962,0.00103962
19,187.73,0.79236,0.78753,1.17199,0.90391,0.84581,0.91212,0.70643,0.88268,0.72072,1.29552,0.00102725,0.00102725,0.00102725
20,196.126,0.78373,0.79565,1.15546,0.84483,0.84707,0.90698,0.70859,0.903,0.81417,1.34216,0.00101488,0.00101488,0.00101488
21,204.567,0.77616,0.74103,1.15875,0.90321,0.83884,0.91186,0.71437,0.83375,0.66999,1.23921,0.0010025,0.0010025,0.0010025
22,213.196,0.79339,0.76665,1.16719,0.91981,0.81773,0.91904,0.70045,0.99825,0.72646,1.44628,0.000990125,0.000990125,0.000990125
23,222.376,0.75225,0.71079,1.13872,0.89143,0.82823,0.91233,0.72307,0.94459,0.64331,1.40816,0.00097775,0.00097775,0.00097775
24,230.738,0.77374,0.73271,1.14286,0.86271,0.82151,0.89859,0.7112,0.96611,0.72687,1.41764,0.000965375,0.000965375,0.000965375
25,239.104,0.75693,0.69596,1.14189,0.91529,0.86458,0.93288,0.75001,0.94301,0.59074,1.39985,0.000953,0.000953,0.000953
26,247.382,0.75614,0.70745,1.14349,0.91421,0.84509,0.92318,0.71253,0.97358,0.68478,1.43312,0.000940625,0.000940625,0.000940625
27,255.63,0.73008,0.68951,1.12013,0.92159,0.84273,0.91861,0.73261,0.9111,0.66061,1.41474,0.00092825,0.00092825,0.00092825
28,263.913,0.75102,0.70277,1.12932,0.86032,0.85907,0.90237,0.71189,0.89011,0.70993,1.33989,0.000915875,0.000915875,0.000915875
29,272.254,0.71384,0.6546,1.10688,0.90752,0.83753,0.91883,0.733,0.9536,0.69771,1.42489,0.0009035,0.0009035,0.0009035
30,280.553,0.73852,0.65962,1.12283,0.90154,0.84018,0.91727,0.74551,0.80079,0.81287,1.27633,0.000891125,0.000891125,0.000891125
31,288.968,0.71832,0.65379,1.10278,0.9275,0.8392,0.92391,0.74024,0.9555,0.62945,1.4363,0.00087875,0.00087875,0.00087875
32,297.496,0.70764,0.65683,1.11488,0.90996,0.8343,0.92387,0.75048,0.77566,0.69654,1.19101,0.000866375,0.000866375,0.000866375
33,305.941,0.70423,0.63037,1.1046,0.91779,0.83535,0.92808,0.72876,0.96369,0.82108,1.45645,0.000854,0.000854,0.000854
34,314.353,0.70618,0.62627,1.09429,0.87816,0.83052,0.90348,0.71333,0.82067,0.64812,1.2651,0.000841625,0.000841625,0.000841625
35,322.782,0.70852,0.61893,1.09707,0.89092,0.84885,0.91616,0.73547,0.94429,0.66018,1.40036,0.00082925,0.00082925,0.00082925
36,331.054,0.68409,0.60638,1.08544,0.90448,0.84405,0.92229,0.73497,0.97146,0.65259,1.43615,0.000816875,0.000816875,0.000816875
37,339.348,0.70435,0.61363,1.11098,0.92406,0.83707,0.9286,0.7445,0.83594,0.6506,1.27001,0.0008045,0.0008045,0.0008045
38,347.861,0.70629,0.60701,1.09955,0.90164,0.87377,0.93819,0.76587,0.84253,0.55925,1.34981,0.000792125,0.000792125,0.000792125
39,356.139,0.69349,0.59455,1.09259,0.9047,0.84356,0.92788,0.7404,0.89417,0.63413,1.41878,0.00077975,0.00077975,0.00077975
40,364.707,0.68639,0.59234,1.08613,0.92978,0.86568,0.93743,0.74977,0.88331,0.54713,1.34921,0.000767375,0.000767375,0.000767375
41,373.211,0.66985,0.58885,1.08935,0.91256,0.83571,0.93577,0.75191,0.90113,0.59071,1.43605,0.000755,0.000755,0.000755
42,381.747,0.65955,0.5638,1.0794,0.95724,0.84043,0.93649,0.75641,0.92951,0.58248,1.40133,0.000742625,0.000742625,0.000742625
43,389.987,0.66398,0.56621,1.08193,0.94744,0.8819,0.94635,0.77497,0.88647,0.53221,1.33404,0.00073025,0.00073025,0.00073025
44,398.315,0.65294,0.56014,1.07515,0.96492,0.88558,0.94867,0.7723,0.86896,0.49287,1.35266,0.000717875,0.000717875,0.000717875
